1,31,1,6,15,7,196,3,6,0,0,199,261,34
10,304,1,90,56,88,2129,44,102,0,0,2498,2736,336
11,343,1,100,61,98,2367,49,113,0,0,2779,3045,372
12,369,1,108,65,107,2578,54,125,0,0,3032,3311,405
13,395,1,116,69,114,2787,58,139,0,0,3280,3571,438
14,434,1,124,73,122,2989,62,149,0,0,3518,3838,468
15,460,1,134,78,132,3208,66,159,0,0,3778,4115,503
16,499,1,142,82,140,3419,71,170,0,0,4028,4392,534
17,525,1,152,88,152,3666,76,183,0,0,4322,4701,575
18,564,1,160,92,160,3855,80,191,0,0,4545,4955,603
19,590,1,170,96,169,4087,85,205,0,0,4823,5243,640
2,57,1,16,20,16,408,8,16,0,0,453,531,68
20,616,1,180,101,178,4313,90,216,0,0,5092,5527,675
21,655,1,188,105,186,4502,94,224,0,0,5315,5781,703
3,96,1,26,25,26,639,13,26,0,0,726,833,103
4,122,1,36,30,36,874,18,38,0,0,1006,1127,140
5,148,1,46,34,44,1065,22,46,0,0,1234,1372,170
6,187,1,54,38,52,1278,26,58,0,0,1485,1650,202
7,213,1,64,43,62,1507,31,70,0,0,1759,1938,239
8,252,1,70,47,70,1699,35,80,0,0,1984,2193,267
9,278,1,82,52,80,1933,40,91,0,0,2264,2487,305
